IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.236.166.131,2083,TRUE,SIN,Asia Pacific,Singapore,237 ms,3468 kB/s
47.236.174.206,2096,TRUE,SIN,Asia Pacific,Singapore,242 ms,3459 kB/s
47.236.83.239,2087,TRUE,SIN,Asia Pacific,Singapore,219 ms,3454 kB/s
47.236.83.239,2053,TRUE,SIN,Asia Pacific,Singapore,212 ms,3448 kB/s
47.236.7.106,443,TRUE,SIN,Asia Pacific,Singapore,218 ms,3436 kB/s
47.236.166.131,2087,TRUE,SIN,Asia Pacific,Singapore,215 ms,3413 kB/s
8.219.156.148,2083,TRUE,SIN,Asia Pacific,Singapore,246 ms,3378 kB/s
47.236.167.231,8443,TRUE,SIN,Asia Pacific,Singapore,233 ms,3378 kB/s
47.236.169.141,2096,TRUE,SIN,Asia Pacific,Singapore,251 ms,3287 kB/s
47.237.8.82,2087,TRUE,SIN,Asia Pacific,Singapore,219 ms,3275 kB/s
47.237.8.82,2083,TRUE,SIN,Asia Pacific,Singapore,212 ms,3260 kB/s
47.236.93.176,2096,TRUE,SIN,Asia Pacific,Singapore,211 ms,3234 kB/s
47.236.253.41,2083,TRUE,SIN,Asia Pacific,Singapore,231 ms,3215 kB/s
47.236.150.13,2053,TRUE,SIN,Asia Pacific,Singapore,226 ms,3189 kB/s
47.236.93.176,2083,TRUE,SIN,Asia Pacific,Singapore,218 ms,3119 kB/s
47.236.97.90,2087,TRUE,SIN,Asia Pacific,Singapore,246 ms,3118 kB/s
47.237.8.82,2096,TRUE,SIN,Asia Pacific,Singapore,235 ms,2940 kB/s
47.236.116.26,2087,TRUE,SIN,Asia Pacific,Singapore,246 ms,2927 kB/s
